Title,Period,Country,Classification
Helicon Hill. Being a Pleasant Posy of rather Wild Wild Flowers Gathered on the Foothills of Parnassus,Date Unknown,England,Books
Design for a Hair Pin (?) with a Female Figure on a Bundle of Flowers and Leaves,Date Unknown,Null,Albums
Theatrical robe with flowers and butterflies,17th - 20th Century,China,Clothing
"The Florists' Manual, or, Hints for the Construction of a Gay Flower-Garden; with Directions for Preventing the Depredations of Insections.",Date Unknown,England,Books
"The Florist's Manual, or Hints for the Construction of a gay flower-garden. . .",Date Unknown,England,Books
Textile Design with Thin Bundles of Flowers and Leaves and Undulating Ribbons with Rings,Date Unknown,Null,Drawings
Textile Design with Large Flowers and Dots over a Striped Background,Date Unknown,Null,Drawings
Textile Design with Stylized Flowers over a Checked Background,Date Unknown,Null,Drawings
Textile Design with Bundles of Flowers and Leaves Over Semi-Abstract Paisley Motifs,Date Unknown,Null,Drawings
Textile Design with Roundels with Swirling Motifs Decorated with Stylized Flowers Over a Background with Tiny Paisley Motifs,Date Unknown,Null,Drawings
Textile Design with Bundles of Flowers and Leaves over a Glitched Background with Large Branches with Leaves,Date Unknown,Null,Drawings
Textile Design with Bundles of Large Stylized Flowers and Rosettes over a Striped Background,Date Unknown,Null,Drawings
Textile Design with Baskets with Bundles of Flowers and Leaves and a Ribbon Bow on the Handle,Date Unknown,Null,Drawings
"Adonis turning into an Anemone Flower, from Les Metamorphoses d'Ovide, Traduction nouvelle Avec le texte latin, suivie d'une analyse de l'explication des Fables, de notes géographiques, historiques, mythologiques et critiques, Par M.G.T. Villenave; ornée de gravures d'après les dessins de MM. LeBarbier, Monsiau et Moreau. A Paris, Chez les Éditeurs, F. Gay Libraire, rue de la Harpe, Bureau de la Bible; Ch. Guestard, Avocat, rue Saint Germain-l'Auxerrois. De l'Imprimerie de P. Didot l'aîné. MDCCCVI.",Date Unknown,Null,Prints
"Adonis turning into an Anemone Flower, from Les Metamorphoses d'Ovide, Traduction nouvelle Avec le texte latin, suivie d'une analyse de l'explication des Fables, de notes géographiques, historiques, mythologiques et critiques, Par M.G.T. Villenave; ornée de gravures d'après les dessins de MM. LeBarbier, Monsiau et Moreau. A Paris, Chez les Éditeurs, F. Gay Libraire, rue de la Harpe, Bureau de la Bible; Ch. Guestard, Avocat, rue Saint Germain-l'Auxerrois. De l'Imprimerie de P. Didot l'aîné. MDCCCVI.",Date Unknown,Null,Prints
Gathering Flowers Academy,20th Century,China,Ink
Summer Robe (Katabira) with Autumn Flowers and Insect Cages,17th - 19th Century,Japan,Clothing
"Sophonisba, portrait of a woman with fur around her, flowers and a curtain at left",Date Unknown,Null,Prints
Ornamental Designs with Garlands and Bundles of Stylized Flowers and Leaves,Date Unknown,France,Books
"Flora, the Spring: the goddess at her toilette; braiding her hair with a garland of flowers (Flore, le Printemps: la Déesse est à sa toillette; / elle tresse ses cheveux d'un guirlande de fleurs), from ""Peintures de la Ville Altoviti à Rome, inventées par Michelange, Peintes par Giorgio Vasari et Gravées par Thomas Piroli, faisant partie de la Calcographie Piranesi"" (Paintings from the Villa Altoviti in Rome, designed by Michelangelo, painted by Giorgio Vasari, and engraved by Thomas Piroli, made part of the Calcography of Piranesi), plate 2",Date Unknown,Null,Prints
"Six designs for brooches with stylized flowers and leaves, pearls, and scrolling motifs",Date Unknown,Null,Albums
Ornamental Designs with Garlands and Bundles of Stylized Flowers and Leaves,Date Unknown,France,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,Date Unknown,France,Books
Ornamental designs with interlacing branches with flowers and leaves,Date Unknown,France,Books
Ornamental designs with bundles of flowers and leaves,Date Unknown,France,Books
"Design for a frame with scrolling motifs, putti and garlands of flowers and leaves",Date Unknown,France,Books
"The Botanic Garden: Consisting of Highly finished Representations of Hardy Ornamental Flowering Plants, Cultivated in Great Britain; with Their Classification, History, Culture and other interesting information",Date Unknown,Null,Books
"A New and Complete Drawing Book of Flowers: Containing Familiar and Easy Instructions for...Drawing and Colouring...also, Directions for Mixing the Colours and Producing the Various Tints",Date Unknown,England,Books
"A Basket of Blue Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"Pink Flowers in a Basket, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Basket of Blue Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Basket of Pink Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
Batik sarong with landscape of birds over flowers,Date Unknown,Indonesia,Textiles
"Fleurs (Flowers), Half-Title",Date Unknown,France,Books
"Fleurs (Flowers), Title Page",Date Unknown,France,Books
"Fleurs (Flowers), Plate 7",Date Unknown,France,Books
"Fleurs (Flowers), Plate 14",Date Unknown,France,Books
"Fleurs (Flowers), Plate 5",Date Unknown,France,Books
"Fleurs (Flowers), Plate 8",Date Unknown,France,Books
"Fleurs (Flowers), Plate 6",Date Unknown,France,Books
"Fleurs (Flowers), Plate 10",Date Unknown,France,Books
"Fleurs (Flowers), Plate 3",Date Unknown,France,Books
"Fleurs (Flowers), Plate 17",Date Unknown,France,Books
"Fleurs (Flowers), Plate 22",Date Unknown,France,Books
"Fleurs (Flowers), Plate 19",Date Unknown,France,Books
"Fleurs (Flowers), Plate 21",Date Unknown,France,Books
"Fleurs (Flowers), Plate 16",Date Unknown,France,Books
"Fleurs (Flowers), Plate 1",Date Unknown,France,Books
"Fleurs (Flowers), Plate 4",Date Unknown,France,Books
"Fleurs (Flowers), Plate 20",Date Unknown,France,Books
"Fleurs (Flowers), Plate 15",Date Unknown,France,Books
"Fleurs (Flowers), Plate 18",Date Unknown,France,Books
"Fleurs (Flowers), Plate 26",Date Unknown,France,Books
"Fleurs (Flowers), Plate 23",Date Unknown,France,Books
"Fleurs (Flowers), Plate 25",Date Unknown,France,Books
"Fleurs (Flowers), Plate 24",Date Unknown,France,Books
"Fleurs (Flowers), Plate 9",Date Unknown,France,Books
"Fleurs (Flowers), Plate 13",Date Unknown,France,Books
"A song sheet cover 'Las Flores Mexicanas' six waltzes composed by J. M. Pérez de León, illustrated with young elegantly dressed women holding flowers aloft",Date Unknown,Null,Books
"Actress wearing flowers on floral-patterned bodice, from the Actresses series (N369), issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes",Date Unknown,Null,Photographs
"Actress surrounded by flowers, holding hand up to hat brim, from the Actresses series (N369), issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes",Date Unknown,Null,Photographs
"Flowers of Literature for 1804, or, Characteristic sketches of human nature and modern manners. To which are added, a general view of literature during that period; portraits and biographical notices of eminent literary characters, with notes, historical, critical, and explanatory",Date Unknown,England,Books
"Textile Design with Bundles of Stylized Flowers, Mills and Ducks Over a Checked Background",Date Unknown,Null,Drawings
"Design for a Belt Buckle with a Peacock and Flowers, created after an image of the jewel designed by Eugène-Samuel Grasset and manufactured by Maison Vever in 1900",Date Unknown,Null,Albums
"Actress standing in outdoor setting with flowers, from the Actresses series (N205) issued by Wm. S. Kimball & Co. to promote Old Gold Flake Cut",Date Unknown,Null,Photographs
"Actress wearing elaborate flowered hat and holding a closed parasol, from the Actresses series (N205) issued by Wm. S. Kimball & Co. to promote Sweet Lavender",Date Unknown,Null,Photographs
"Actress holding up flowered dress, from the Actresses series (N205) issued by Wm. S. Kimball & Co. to promote Sweet Lavender",Date Unknown,Null,Photographs
Actress holding up large strands of flowers from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Date Unknown,Null,Photographs
Actress in flowered dress from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Date Unknown,Null,Photographs
Ornamental designs with scrolling branches with stylized flowers and leaves,Date Unknown,France,Books
"Women Holding a Bouquet of Flowers in her Right Hand and a Basket of Flowers in her Left, from the French Novelties series (N110) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
Ornamental designs with thin bundles of stylized flowers and leaves and semi-abstract patterns for textiles,Date Unknown,France,Books
Ornamental designs with bundles of stylized flowers and leaves,Date Unknown,France,Books
"A Brunette Woman Dressed in White, Wearing a Hat Covered in Pink Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Young Blonde Girl Wearing a Hat with Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Pathway with Flowers Blooming on Either Side, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Young Girl in a Blue Dress Holding a Purple Sack and Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Young Girl in a Green Dress Holding a Basket of Flowers and an Umbrella, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Young Girl in a Red Dress Holding a Basket of Flowers, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Young Girl in a White Dress Holding a Sealed Letter and Flowers in a Blanket, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"A Pathway with Flowers Blooming on Either Side, from the Jigsaw Puzzle Pictures series (T76) issued by Turkish Trophies Cigarettes",Date Unknown,Null,Prints
"Profile of actress wearing flowered hat and dress, from the Tinted Photos series (N89) for Duke brand cigarettes",Date Unknown,Null,Prints
"Profile of actress wearing flowered hat and dress (Die-Cut), from the Tinted Photos series (N89) for Duke brand cigarettes",Date Unknown,Null,Prints
"Actress wearing flowered hat, from the Tinted Photos series (N89) for Duke brand cigarettes",Date Unknown,Null,Prints
"Actress wearing flowered hat (Die-Cut), from the Tinted Photos series (N89) for Duke brand cigarettes",Date Unknown,Null,Prints
"Actress wearing straw hat with flowers and pink ribbon, from the Actresses Folder Series (N96) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Actress wearing yellow striped jacket and flowered hat, from the Actresses Folder Series (N96) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Actress wearing yellow blouse and hat with yellow flowers, from the Actresses Folder Series (N96) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Actress wearing large brimmed hat adorned with flowers, from the ""Types of Dances (Actresses)"" series (N275) issued by P. Lorillard Company to promote Green Turtle Long Cut Tobacco",Date Unknown,Null,Photographs
"Dancer posing in skirt with affixed flowers, from the ""Types of Dances (Actresses)"" series (N275) issued by P. Lorillard Company to promote Green Turtle Long Cut Tobacco",Date Unknown,Null,Photographs
"Actress dressed in costume with garlands of flowers at neckline and waist, from the Actresses series (N369), issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes",Date Unknown,Null,Photographs
"Actress seated on a wall, holding flowers, from the Actresses series (N280) issued by D. Buchner & Co.",Date Unknown,Null,Prints
"Actress seated on a wall, holding flowers, from the Actresses series (N280) issued by D. Buchner & Co.",Date Unknown,Null,Prints
"Actress holding vase with flowers, from the Actresses and Celebrities series, Type 2 (N146-2) issued by W. Duke Sons & Co.",Date Unknown,Null,Photographs
"Actress holding garland of flowers above head, from the Actresses and Celebrities series, Type 2 (N146-2) issued by W. Duke Sons & Co.",Date Unknown,Null,Photographs
"De Wolf Hopper in May Flower, from the Actors and Actresses series (N342), Type 3a, issued by Thomas H. Hall Tobacco to promote Between the Acts Cigarettes.",Date Unknown,Null,Prints
Actress holding up large strands of flowers from Actresses (N335) issued by S. F. Hess & Company to promote Sunlight Long Cut Tobacco,Date Unknown,Null,Photographs
"Saint Joseph Seen with his Flowering Staff, which is Held by the Christ Child",Date Unknown,Null,Drawings
Cobweb Valentine that reveals putto within a sunflower blossom,Date Unknown,Null,Ephemera
"Woman Wearing White and a Hat with Flowers, from the Gems of Beauty series (N111) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Blonde Woman Wearing a Black Cap with Lavendar and Blue Flowers and a Black Feathered Collar, from the Gems of Beauty series (N111) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Woman Wearing a White Lace Shawl Over Her Head with Pink and Yellow Flowers on her Lapel, from the Gems of Beauty series (N111) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
